num_ecs,num_fsds,num_ssds,num_layers,neurons,dropout,act_func,l_rate,epochs,batch_size,train_ds,val_ds
11,11,11,2,141,0.0,relu,0.01,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,1,149,0.4,sigmoid,0.01,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,2,487,0.0,sigmoid,0.001,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,129,0.0,tanh,0.01,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,56,0.2,sigmoid,0.01,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,3,240,0.2,tanh,0.01,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,272,0.4,tanh,0.001,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,36,0.2,sigmoid,0.001,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,435,0.0,tanh,0.01,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,1,292,0.0,relu,0.01,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,2,40,0.2,sigmoid,0.01,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,3,195,0.2,sigmoid,0.0001,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,2,187,0.4,tanh,0.001,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,3,350,0.2,tanh,0.01,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,330,0.2,tanh,0.001,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,476,0.2,sigmoid,0.01,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,2,320,0.4,relu,0.001,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,1,247,0.2,tanh,0.01,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,3,498,0.0,tanh,0.001,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,1,369,0.4,tanh,0.001,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,2,359,0.0,relu,0.01,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,3,279,0.4,relu,0.001,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,196,0.0,sigmoid,0.0001,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,481,0.2,tanh,0.01,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,3,40,0.4,sigmoid,0.01,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,2,372,0.4,tanh,0.001,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,75,0.4,relu,0.001,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,3,374,0.2,relu,0.0001,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,482,0.0,relu,0.0001,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,1,118,0.0,sigmoid,0.0001,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,1,52,0.0,sigmoid,0.0001,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,30,0.4,sigmoid,0.01,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,214,0.4,sigmoid,0.01,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,2,156,0.4,relu,0.01,100,128,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,2,347,0.0,sigmoid,0.001,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,3,23,0.0,sigmoid,0.001,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,3,300,0.0,tanh,0.001,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,58,0.0,sigmoid,0.0001,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,2,484,0.2,relu,0.0001,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,268,0.0,sigmoid,0.0001,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,317,0.0,sigmoid,0.01,100,32,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,3,182,0.4,relu,0.01,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
11,11,11,4,267,0.2,tanh,0.0001,100,64,datasets/7-5/train/class/ds_dti_pw_1_ec_train_20_100_10.csv,
