num_ecs,num_fsds,num_ssds,num_layers,neurons,dropout,act_func,l_rate,epochs,batch_size,train_ds,val_ds
11,11,11,3,17,0.0,sigmoid,0.001,100,32,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,3,168,0.4,tanh,0.01,100,32,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,4,19,0.2,relu,0.01,100,64,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,3,331,0.2,relu,0.0001,100,128,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,2,163,0.2,sigmoid,0.0001,100,32,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,4,58,0.2,relu,0.01,100,128,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,2,251,0.4,tanh,0.001,100,32,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,1,15,0.2,relu,0.01,100,128,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,1,446,0.4,tanh,0.0001,100,128,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,4,133,0.4,sigmoid,0.001,100,64,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,4,213,0.0,relu,0.001,100,128,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,4,80,0.4,relu,0.001,100,32,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,4,438,0.4,relu,0.01,100,32,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,4,16,0.4,tanh,0.0001,100,32,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
11,11,11,2,88,0.4,sigmoid,0.01,100,64,datasets/7-5/train_orth/class/ds_orth_pw_1_ec_train_20_100_10.csv,
