num_ecs,num_fsds,num_ssds,num_layers,neurons,dropout,act_func,l_rate,epochs,batch_size,train_ds,val_ds
11,11,11,4,161,0.4,sigmoid,0.0001,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,2,428,0.0,tanh,0.01,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,72,0.4,sigmoid,0.001,300,128,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,4,135,0.0,tanh,0.01,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,1,480,0.4,sigmoid,0.001,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,4,67,0.2,sigmoid,0.01,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,2,162,0.0,relu,0.01,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,4,359,0.2,relu,0.0001,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,4,479,0.2,relu,0.01,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,359,0.0,relu,0.001,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,188,0.0,sigmoid,0.01,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,4,186,0.0,relu,0.01,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,2,470,0.0,tanh,0.001,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,2,463,0.0,relu,0.01,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,255,0.2,relu,0.0001,300,128,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,1,25,0.0,relu,0.0001,300,128,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,1,493,0.2,relu,0.001,300,128,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,139,0.0,relu,0.01,300,128,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,341,0.4,tanh,0.001,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,489,0.2,sigmoid,0.001,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,1,19,0.4,tanh,0.0001,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,277,0.0,relu,0.01,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,1,27,0.0,relu,0.0001,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,50,0.2,sigmoid,0.01,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,237,0.4,sigmoid,0.01,300,128,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,459,0.2,relu,0.01,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,1,259,0.4,sigmoid,0.01,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,1,61,0.0,sigmoid,0.0001,300,32,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,4,401,0.2,sigmoid,0.001,300,128,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,4,67,0.0,sigmoid,0.0001,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,2,122,0.4,sigmoid,0.001,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,1,102,0.2,tanh,0.0001,300,128,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,2,58,0.4,tanh,0.01,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,1,448,0.0,sigmoid,0.0001,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,4,293,0.4,relu,0.01,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
11,11,11,3,230,0.4,sigmoid,0.01,300,64,datasets/7-5/train_orth/reg/ds_orth_pw_1_ec_train_reg_10.csv,
